 2016-12-15 11:49:23,921 [P16340/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco 7.5.4 application starting on DESKTOP-H4097GV
 2016-12-15 11:54:48,680 [P16340/D2/T27] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Trees.TreeController
 2016-12-15 11:54:48,680 [P16340/D2/T27] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Trees.TreeController, found 0 (took 0ms)
 2016-12-15 11:54:48,682 [P16340/D2/T27] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.ITree
 2016-12-15 11:54:48,682 [P16340/D2/T27] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.ITree, found 0 (took 0ms)
 2016-12-15 11:54:48,717 [P16340/D2/T15] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.ITree
 2016-12-15 11:54:48,717 [P16340/D2/T15] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.ITree, found 0 (took 0ms)
 2016-12-15 11:56:24,735 [P16340/D2/T22] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Editors.IEditorValidator
 2016-12-15 11:56:24,736 [P16340/D2/T22] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Editors.IEditorValidator, found 0 (took 0ms)
 2016-12-15 11:56:24,850 [P16340/D2/T22] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.ICacheRefresher
 2016-12-15 11:56:24,851 [P16340/D2/T22] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.ICacheRefresher, found 0 (took 0ms)
 2016-12-15 11:57:01,033 [P16340/D2/T21] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'Knud' with Id '1076' has been published.
 2016-12-15 11:57:05,177 [P16340/D2/T13] INFO  umbraco.content - Save Xml to file...
 2016-12-15 11:57:05,184 [P16340/D2/T13] INFO  umbraco.content - Saved Xml to file.
 2016-12-15 11:59:03,395 [P16340/D2/T43] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'Jan Ole Ipsen' with Id '0' has been published.
 2016-12-15 11:59:07,435 [P16340/D2/T25] INFO  umbraco.content - Save Xml to file...
 2016-12-15 11:59:07,442 [P16340/D2/T25] INFO  umbraco.content - Saved Xml to file.
 2016-12-15 11:59:09,021 [P16340/D2/T38] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'Jan Ole Ipsen' with Id '1132' has been published.
 2016-12-15 11:59:13,044 [P16340/D2/T21] INFO  umbraco.content - Save Xml to file...
 2016-12-15 11:59:13,050 [P16340/D2/T21] INFO  umbraco.content - Saved Xml to file.
 2016-12-15 11:59:24,908 [P16340/D2/T28] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'Medlemmer' with Id '1075' has been published.
 2016-12-15 11:59:28,936 [P16340/D2/T21] INFO  umbraco.content - Save Xml to file...
 2016-12-15 11:59:28,941 [P16340/D2/T21] INFO  umbraco.content - Saved Xml to file.
 2016-12-15 11:59:38,995 [P16340/D2/T38] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'Bestyrelsen' with Id '1077' has been published.
 2016-12-15 11:59:43,014 [P16340/D2/T21] INFO  umbraco.content - Save Xml to file...
 2016-12-15 11:59:43,022 [P16340/D2/T21] INFO  umbraco.content - Saved Xml to file.
 2016-12-15 12:00:36,726 [P16340/D2/T60] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [LogScrubber] Terminating
 2016-12-15 12:00:36,726 [P16340/D2/T60] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [LogScrubber] Waiting for tasks to complete
 2016-12-15 12:00:36,728 [P16340/D2/T16] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [LogScrubber] Tasks completed, terminated
 2016-12-15 12:00:36,730 [P16340/D2/T60] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [ScheduledPublishing] Terminating
 2016-12-15 12:00:36,730 [P16340/D2/T60] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [ScheduledPublishing] Waiting for tasks to complete
 2016-12-15 12:00:36,730 [P16340/D2/T60] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [KeepAlive] Terminating
 2016-12-15 12:00:36,730 [P16340/D2/T60] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [KeepAlive] Waiting for tasks to complete
 2016-12-15 12:00:36,730 [P16340/D2/T60] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [ScheduledTasks] Terminating
 2016-12-15 12:00:36,730 [P16340/D2/T60] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [ScheduledTasks] Waiting for tasks to complete
 2016-12-15 12:00:36,730 [P16340/D2/T60] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [Umbraco.Web.Scheduling.IBackgroundTask] Terminating
 2016-12-15 12:00:36,730 [P16340/D2/T60] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [Umbraco.Web.Scheduling.IBackgroundTask] Waiting for tasks to complete
 2016-12-15 12:00:36,730 [P16340/D2/T62] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [ScheduledPublishing] Tasks completed, terminated
 2016-12-15 12:00:36,730 [P16340/D2/T43] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [ScheduledTasks] Tasks completed, terminated
 2016-12-15 12:00:36,730 [P16340/D2/T61] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [KeepAlive] Tasks completed, terminated
 2016-12-15 12:00:36,730 [P16340/D2/T22] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [Umbraco.Web.Scheduling.IBackgroundTask] Tasks completed, terminated
 2016-12-15 12:00:37,541 [P16340/D3/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco 7.5.4 application starting on DESKTOP-H4097GV
 2016-12-15 12:00:37,550 [P16340/D3/T1] INFO  Umbraco.Core.PluginManager - Determining hash of code files on disk
 2016-12-15 12:00:37,555 [P16340/D3/T1] INFO  Umbraco.Core.PluginManager - Hash determined (took 5ms)
 2016-12-15 12:00:37,588 [P16340/D3/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.IApplicationStartupHandler
 2016-12-15 12:00:37,594 [P16340/D3/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.IApplicationStartupHandler, found 0 (took 6ms)
 2016-12-15 12:00:37,610 [P16340/D3/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter
 2016-12-15 12:00:37,610 [P16340/D3/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter, found 0 (took 0ms)
 2016-12-15 12:00:37,610 [P16340/D3/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyValueConverter
 2016-12-15 12:00:37,611 [P16340/D3/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyValueConverter, found 0 (took 0ms)
 2016-12-15 12:00:37,619 [P16340/D3/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Mvc.SurfaceController
 2016-12-15 12:00:37,620 [P16340/D3/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Mvc.SurfaceController, found 0 (took 0ms)
 2016-12-15 12:00:37,620 [P16340/D3/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.WebApi.UmbracoApiController
 2016-12-15 12:00:37,624 [P16340/D3/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.WebApi.UmbracoApiController, found 0 (took 3ms)
 2016-12-15 12:00:37,645 [P16340/D3/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IThumbnailProvider
 2016-12-15 12:00:37,645 [P16340/D3/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IThumbnailProvider, found 0 (took 0ms)
 2016-12-15 12:00:37,646 [P16340/D3/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IImageUrlProvider
 2016-12-15 12:00:37,646 [P16340/D3/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IImageUrlProvider, found 0 (took 0ms)
 2016-12-15 12:00:38,369 [P16340/D3/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2016-12-15 12:00:38,495 [P16340/D3/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2016-12-15 12:00:38,501 [P16340/D3/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2016-12-15 12:00:38,516 [P16340/D3/T1] INFO  Umbraco.Web.Cache.CacheRefresherEventHandler - Initializing Umbraco internal event handlers for cache refreshing
 2016-12-15 12:00:38,571 [P16340/D3/T1] INFO  Umbraco.Web.Search.ExamineEvents - Initializing Examine and binding to business logic events
 2016-12-15 12:00:38,572 [P16340/D3/T1] INFO  Umbraco.Web.Search.ExamineEvents - Adding examine event handlers for index providers: 3
 2016-12-15 12:00:38,578 [P16340/D3/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco application startup complete (took 1072ms)
 2016-12-15 12:00:38,754 [P16340/D3/T57] INFO  Umbraco.Core.Sync.ApplicationUrlHelper - ApplicationUrl: http://dev.rjf:80/umbraco (UmbracoModule request)
 2016-12-15 12:00:38,939 [P16340/D3/T57] INFO  umbraco.content - Load Xml from file...
 2016-12-15 12:00:38,939 [P16340/D3/T57] INFO  umbraco.content - Loaded Xml from file.
 2016-12-15 12:00:39,270 [P16340/D3/T57] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IParameterEditor
 2016-12-15 12:00:39,270 [P16340/D3/T57] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IParameterEditor, found 0 (took 0ms)
 2016-12-15 12:00:41,634 [P16340/D3/T57] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Persistence.Mappers.BaseMapper
 2016-12-15 12:00:41,635 [P16340/D3/T57] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Persistence.Mappers.BaseMapper, found 0 (took 0ms)
 2016-12-15 12:00:41,743 [P16340/D3/T57] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IParameterEditor
 2016-12-15 12:00:41,743 [P16340/D3/T57] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IParameterEditor, found 0 (took 0ms)
 2016-12-15 12:00:41,761 [P16340/D3/T57] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.cms.businesslogic.macro.IMacroEngine
 2016-12-15 12:00:41,761 [P16340/D3/T57] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.cms.businesslogic.macro.IMacroEngine, found 0 (took 0ms)
 2016-12-15 12:00:52,099 [P16340/D3/T57] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.IAction
 2016-12-15 12:00:52,099 [P16340/D3/T57] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.IAction, found 0 (took 0ms)
 2016-12-15 12:00:53,093 [P16340/D3/T18] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Trees.TreeController
 2016-12-15 12:00:53,094 [P16340/D3/T18] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Trees.TreeController, found 0 (took 0ms)
 2016-12-15 12:00:53,095 [P16340/D3/T18] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.ITree
 2016-12-15 12:00:53,096 [P16340/D3/T18] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.ITree, found 0 (took 0ms)
 2016-12-15 12:01:06,760 [P16340/D2/T63] INFO  Umbraco.Core.UmbracoApplicationBase - Application shutdown. Details: MaxRecompilationsReached

_shutDownMessage=Recompilation limit of 15 reached
HostingEnvironment initiated shutdown
HostingEnvironment forårsagede nedlukning

_shutDownStack=   ved System.Environment.GetStackTrace(Exception e, Boolean needFileInfo)
   ved System.Environment.get_StackTrace()
   ved System.Web.Hosting.HostingEnvironment.InitiateShutdownInternal()
   ved System.Web.Hosting.HostingEnvironment.InitiateShutdownWithoutDemand()
   ved System.Web.HttpRuntime.ShutdownAppDomain(String stackTrace)
   ved System.Web.Compilation.DiskBuildResultCache.ShutdownCallBack(Object state)
   ved System.Threading.ExecutionContext.RunInternal(ExecutionContext executionContext, ContextCallback callback, Object state, Boolean preserveSyncCtx)
   ved System.Threading.ExecutionContext.Run(ExecutionContext executionContext, ContextCallback callback, Object state, Boolean preserveSyncCtx)
   ved System.Threading.QueueUserWorkItemCallback.System.Threading.IThreadPoolWorkItem.ExecuteWorkItem()
   ved System.Threading.ThreadPoolWorkQueue.Dispatch()
 2016-12-15 12:01:24,425 [P16340/D3/T58] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'Frederik Nielsen' with Id '0' has been published.
 2016-12-15 12:01:24,542 [P16340/D3/T58] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.ICacheRefresher
 2016-12-15 12:01:24,542 [P16340/D3/T58] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.ICacheRefresher, found 0 (took 0ms)
 2016-12-15 12:01:28,567 [P16340/D3/T55] INFO  umbraco.content - Save Xml to file...
 2016-12-15 12:01:28,573 [P16340/D3/T55] INFO  umbraco.content - Saved Xml to file.
 2016-12-15 12:01:37,733 [P16340/D3/T21] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'Bestyrelsen' with Id '1077' has been published.
 2016-12-15 12:01:38,959 [P16340/D3/T59] INFO  umbraco.BusinessLogic.Log - Log scrubbed.  Removed all items older than 2016-12-14 12:01:38
 2016-12-15 12:01:41,783 [P16340/D3/T56] INFO  umbraco.content - Save Xml to file...
 2016-12-15 12:01:41,789 [P16340/D3/T56] INFO  umbraco.content - Saved Xml to file.
 2016-12-15 12:02:29,821 [P16340/D3/T21] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'Ole Andreasen' with Id '0' has been published.
 2016-12-15 12:02:33,855 [P16340/D3/T56] INFO  umbraco.content - Save Xml to file...
 2016-12-15 12:02:33,860 [P16340/D3/T56] INFO  umbraco.content - Saved Xml to file.
 2016-12-15 12:02:38,146 [P16340/D3/T56] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'Bestyrelsen' with Id '1077' has been published.
 2016-12-15 12:02:42,174 [P16340/D3/T21] INFO  umbraco.content - Save Xml to file...
 2016-12-15 12:02:42,180 [P16340/D3/T21] INFO  umbraco.content - Saved Xml to file.
 2016-12-15 12:02:50,154 [P16340/D3/T42] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'Bestyrelsen' with Id '1077' has been published.
 2016-12-15 12:02:54,169 [P16340/D3/T21] INFO  umbraco.content - Save Xml to file...
 2016-12-15 12:02:54,176 [P16340/D3/T21] INFO  umbraco.content - Saved Xml to file.
 2016-12-15 12:05:21,359 [P16340/D3/T72] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.ITree
 2016-12-15 12:05:21,360 [P16340/D3/T72] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.ITree, found 0 (took 0ms)
 2016-12-15 12:05:21,368 [P16340/D3/T72] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.IApplication
 2016-12-15 12:05:21,369 [P16340/D3/T72] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.IApplication, found 0 (took 0ms)
 2016-12-15 12:15:43,316 [P16340/D3/T187] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [KeepAlive] Terminating
 2016-12-15 12:15:43,316 [P16340/D3/T187] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [KeepAlive] Waiting for tasks to complete
 2016-12-15 12:15:43,317 [P16340/D3/T187] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [LogScrubber] Terminating
 2016-12-15 12:15:43,317 [P16340/D3/T187] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [LogScrubber] Waiting for tasks to complete
 2016-12-15 12:15:43,317 [P16340/D3/T187] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [Umbraco.Web.Scheduling.IBackgroundTask] Terminating
 2016-12-15 12:15:43,317 [P16340/D3/T187] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [Umbraco.Web.Scheduling.IBackgroundTask] Waiting for tasks to complete
 2016-12-15 12:15:43,317 [P16340/D3/T187] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [ScheduledTasks] Terminating
 2016-12-15 12:15:43,317 [P16340/D3/T187] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [ScheduledTasks] Waiting for tasks to complete
 2016-12-15 12:15:43,317 [P16340/D3/T144] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [Umbraco.Web.Scheduling.IBackgroundTask] Tasks completed, terminated
 2016-12-15 12:15:43,318 [P16340/D3/T193] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [ScheduledTasks] Tasks completed, terminated
 2016-12-15 12:15:43,318 [P16340/D3/T58] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [LogScrubber] Tasks completed, terminated
 2016-12-15 12:15:43,318 [P16340/D3/T142] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [KeepAlive] Tasks completed, terminated
 2016-12-15 12:15:43,327 [P16340/D3/T187] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [ScheduledPublishing] Terminating
 2016-12-15 12:15:43,327 [P16340/D3/T187] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [ScheduledPublishing] Waiting for tasks to complete
 2016-12-15 12:15:43,327 [P16340/D3/T186] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [ScheduledPublishing] Tasks completed, terminated
 2016-12-15 12:16:11,828 [P16340/D4/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco 7.5.4 application starting on DESKTOP-H4097GV
 2016-12-15 12:16:11,837 [P16340/D4/T1] INFO  Umbraco.Core.PluginManager - Determining hash of code files on disk
 2016-12-15 12:16:11,844 [P16340/D4/T1] INFO  Umbraco.Core.PluginManager - Hash determined (took 7ms)
 2016-12-15 12:16:11,873 [P16340/D4/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.IApplicationStartupHandler
 2016-12-15 12:16:11,881 [P16340/D4/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.IApplicationStartupHandler, found 0 (took 7ms)
 2016-12-15 12:16:11,898 [P16340/D4/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter
 2016-12-15 12:16:11,899 [P16340/D4/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter, found 0 (took 0ms)
 2016-12-15 12:16:11,900 [P16340/D4/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyValueConverter
 2016-12-15 12:16:11,900 [P16340/D4/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyValueConverter, found 0 (took 0ms)
 2016-12-15 12:16:11,908 [P16340/D4/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Mvc.SurfaceController
 2016-12-15 12:16:11,909 [P16340/D4/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Mvc.SurfaceController, found 0 (took 0ms)
 2016-12-15 12:16:11,909 [P16340/D4/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.WebApi.UmbracoApiController
 2016-12-15 12:16:11,913 [P16340/D4/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.WebApi.UmbracoApiController, found 0 (took 3ms)
 2016-12-15 12:16:11,938 [P16340/D4/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IThumbnailProvider
 2016-12-15 12:16:11,938 [P16340/D4/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IThumbnailProvider, found 0 (took 0ms)
 2016-12-15 12:16:11,939 [P16340/D4/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IImageUrlProvider
 2016-12-15 12:16:11,939 [P16340/D4/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IImageUrlProvider, found 0 (took 0ms)
 2016-12-15 12:16:12,700 [P16340/D4/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2016-12-15 12:16:12,837 [P16340/D4/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
